pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.875.932.9,2,875,932,9,1.4,461751.4,5803666.8,26,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,12
2.875.932.10,2,875,932,10,1.4,461751.4,5803666.8,26,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,12
2.875.932.11,2,875,932,11,0.12,461751.4,5803666.8,26,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,12
2.877.934.9,2,877,934,9,0.77,461832.3,5803533.9,26,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,12
2.877.934.10,2,877,934,10,0.8,461832.3,5803533.9,26,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,12
2.877.934.11,2,877,934,11,0.07,461832.3,5803533.9,26,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,12
2.884.941.9,2,884,941,9,0.9,462257.1,5803360.5,26,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,12
2.884.941.10,2,884,941,10,0.9,462257.1,5803360.5,26,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,12
2.884.941.11,2,884,941,11,0.07,462257.1,5803360.5,26,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,12
