pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.937.994.9,2,937,994,9,1.58,461921.0,5802415.2,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.937.994.10,2,937,994,10,1.61,461921.0,5802415.2,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.937.994.11,2,937,994,11,0.16,461921.0,5802415.2,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.940.997.9,2,940,997,9,1.79,461942.4,5802394.7,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.940.997.10,2,940,997,10,1.82,461942.4,5802394.7,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.940.997.11,2,940,997,11,0.18,461942.4,5802394.7,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.942.999.9,2,942,999,9,0.53,461964.4,5802289.5,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.942.999.10,2,942,999,10,0.53,461964.4,5802289.5,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.942.999.11,2,942,999,11,0.05,461964.4,5802289.5,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.943.1000.9,2,943,1000,9,1.45,461965.3,5802473.9,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.943.1000.10,2,943,1000,10,1.5,461965.3,5802473.9,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.943.1000.11,2,943,1000,11,0.16,461965.3,5802473.9,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.944.1001.9,2,944,1001,9,0.89,461973.3,5802802.6,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.944.1001.10,2,944,1001,10,0.95,461973.3,5802802.6,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.944.1001.11,2,944,1001,11,0.08,461973.3,5802802.6,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.948.1005.9,2,948,1005,9,1.33,461987.9,5802729.0,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.948.1005.10,2,948,1005,10,1.35,461987.9,5802729.0,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.948.1005.11,2,948,1005,11,0.12,461987.9,5802729.0,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.950.1007.9,2,950,1007,9,1.04,462001.9,5802743.7,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.950.1007.10,2,950,1007,10,1.09,462001.9,5802743.7,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
2.950.1007.11,2,950,1007,11,0.1,462001.9,5802743.7,29,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,36
2.954.1011.9,2,954,1011,9,1.06,462010.5,5802717.6,29,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,36
2.954.1011.10,2,954,1011,10,1.09,462010.5,5802717.6,29,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,36
