pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.1001.1058.9,2,1001,1058,9,0.98,462606.0,5802189.5,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1001.1058.10,2,1001,1058,10,1.02,462606.0,5802189.5,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1001.1058.11,2,1001,1058,11,0.1,462606.0,5802189.5,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1003.1060.9,2,1003,1060,9,1.39,462643.3,5802197.5,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1003.1060.10,2,1003,1060,10,1.52,462643.3,5802197.5,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1003.1060.11,2,1003,1060,11,0.14,462643.3,5802197.5,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1006.1063.9,2,1006,1063,9,1.68,462717.4,5802165.9,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1006.1063.10,2,1006,1063,10,1.73,462717.4,5802165.9,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1006.1063.11,2,1006,1063,11,0.17,462717.4,5802165.9,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1007.1064.9,2,1007,1064,9,0.95,462747.6,5802285.3,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1007.1064.10,2,1007,1064,10,0.98,462747.6,5802285.3,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1007.1064.11,2,1007,1064,11,0.09,462747.6,5802285.3,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1009.1066.9,2,1009,1066,9,0.9,462775.1,5802237.8,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1009.1066.10,2,1009,1066,10,0.92,462775.1,5802237.8,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1009.1066.11,2,1009,1066,11,0.09,462775.1,5802237.8,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1010.1067.9,2,1010,1067,9,0.79,462779.4,5802264.9,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1010.1067.10,2,1010,1067,10,0.79,462779.4,5802264.9,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1010.1067.11,2,1010,1067,11,0.07,462779.4,5802264.9,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1011.1068.9,2,1011,1068,9,0.83,462780.6,5802195.4,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1011.1068.10,2,1011,1068,10,0.87,462780.6,5802195.4,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1011.1068.11,2,1011,1068,11,0.09,462780.6,5802195.4,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1012.1069.9,2,1012,1069,9,1.32,462785.4,5802152.3,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1012.1069.10,2,1012,1069,10,1.32,462785.4,5802152.3,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1012.1069.11,2,1012,1069,11,0.14,462785.4,5802152.3,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1013.1070.9,2,1013,1070,9,0.95,462799.8,5802352.9,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1013.1070.10,2,1013,1070,10,0.96,462799.8,5802352.9,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
2.1013.1070.11,2,1013,1070,11,0.09,462799.8,5802352.9,32,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,20
2.1020.1077.9,2,1020,1077,9,0.59,462836.2,5802289.2,32,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,20
2.1020.1077.10,2,1020,1077,10,0.62,462836.2,5802289.2,32,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,20
