pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.185.185.9,2,185,185,9,0.85,463602.2,5803646.2,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.185.185.10,2,185,185,10,0.89,463602.2,5803646.2,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.185.185.11,2,185,185,11,0.08,463602.2,5803646.2,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.186.186.9,2,186,186,9,1.02,463610.8,5803455.6,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.186.186.10,2,186,186,10,1.06,463610.8,5803455.6,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.186.186.11,2,186,186,11,0.1,463610.8,5803455.6,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.190.190.9,2,190,190,9,1.08,463649.8,5803874.4,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.190.190.10,2,190,190,10,1.11,463649.8,5803874.4,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.190.190.11,2,190,190,11,0.1,463649.8,5803874.4,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.191.191.9,2,191,191,9,0.89,463650.9,5803368.4,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.191.191.10,2,191,191,10,0.91,463650.9,5803368.4,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.191.191.11,2,191,191,11,0.08,463650.9,5803368.4,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.194.194.9,2,194,194,9,0.97,463678.8,5803402.0,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.194.194.10,2,194,194,10,0.98,463678.8,5803402.0,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.194.194.11,2,194,194,11,0.09,463678.8,5803402.0,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.195.195.9,2,195,195,9,1.08,463692.6,5803775.0,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.195.195.10,2,195,195,10,1.11,463692.6,5803775.0,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.195.195.11,2,195,195,11,0.11,463692.6,5803775.0,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.197.197.9,2,197,197,9,1.05,463752.8,5803810.6,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.197.197.10,2,197,197,10,1.05,463752.8,5803810.6,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.197.197.11,2,197,197,11,0.11,463752.8,5803810.6,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.198.198.9,2,198,198,9,1.09,463756.2,5803669.3,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.198.198.10,2,198,198,10,1.11,463756.2,5803669.3,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.198.198.11,2,198,198,11,0.11,463756.2,5803669.3,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.199.199.9,2,199,199,9,1.01,463763.0,5803505.2,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.199.199.10,2,199,199,10,1.08,463763.0,5803505.2,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
2.199.199.11,2,199,199,11,0.11,463763.0,5803505.2,8,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,22
2.200.200.9,2,200,200,9,1.06,463768.1,5803426.2,8,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,22
2.200.200.10,2,200,200,10,1.08,463768.1,5803426.2,8,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,22
