point_ID,X,Y,field_ID
1,462573.1,5801470.8,1
2,462602.9,5801523.2,1
3,462609.6,5801439.5,1
4,462610.4,5801537.7,1
5,462639.8,5801548.1,1
6,462659.3,5801600.1,1
7,462691.8,5801721.3,1
8,462705,5801635.9,1
9,462730.7,5801696.1,1
10,462738.9,5801468.8,1
11,462745.2,5801583.7,1
12,462751.8,5801578.2,1
13,462755.2,5801606.4,1
14,462763.7,5801495.4,1
15,462790.6,5801787.1,1
16,462799.1,5801683.8,1
17,462838.5,5801874.7,1
18,462868.7,5801512.2,1
19,462870.8,5801840.6,1
20,462873.9,5801850.5,1
21,462896.8,5801646.7,1
22,462899.4,5801583.9,1
23,462903,5801936.4,1
24,462916,5801722.6,1
25,462964.1,5801867.7,1
26,462987.7,5801977.1,1
27,463001.4,5801763.5,1
28,463022.5,5801762.5,1
29,463038.3,5801638.9,1
30,463042.4,5801755.5,1
31,463064.8,5801777.9,1
32,463075.5,5801790,1
33,463088.9,5801801.7,1
34,463124.3,5801815.1,1
35,463148.5,5801609.5,1
36,463175,5801906.3,1
37,463176.5,5801814.4,1
38,463177.2,5801959.8,1
39,463205.4,5801826.1,1
40,463227.5,5801612.4,1
41,463229.7,5801696.9,1
42,463351,5801719.7,1
43,463384.2,5801672.2,1
44,464071.3,5804705,2
45,464083.5,5804699.1,2
46,464084,5804587.2,2
47,464122.7,5804712.4,2
48,464128.4,5804729.7,2
49,464197.3,5804662.6,2
50,464245.2,5804516.8,2
51,464272.3,5804504.2,2
52,464283.4,5804730,2
53,464285.7,5804499.1,2
54,464319.9,5804533.8,2
55,464345.5,5804510,2
56,464365.1,5804671.2,2
57,464375.8,5804496.8,2
58,464385.4,5804588.9,2
59,464403.8,5804484.7,2
60,464456.5,5804577.5,2
61,463939.7,5804383.9,3
62,463942.9,5804339.1,3
63,464034.6,5804368.7,3
64,464037.4,5804384.4,3
65,464057.9,5804242.3,3
66,464084.9,5804310.8,3
67,464105.3,5804167.4,3
68,464145.4,5804271.3,3
69,464151.8,5804227.8,3
70,464201.9,5804169.6,3
71,464223,5804052,3
72,464223.3,5804069.2,3
73,464241.1,5804077.1,3
74,464270.4,5804081.6,3
75,464280.3,5804093.9,3
76,464294.9,5804134.5,3
77,464347.6,5804203.7,3
78,464473.8,5804202.1,3
79,464070,5803695.2,4
80,464101,5803654.7,4
81,464156.1,5803845.5,4
82,464173.1,5803618.1,4
83,464173.9,5803622.7,4
84,464233.1,5803635.1,4
85,464235.8,5803844,4
86,464348.1,5803797.5,4
87,464372.4,5804051.5,4
88,464373,5803977,4
89,464412.8,5803836.8,4
90,464451,5803845.9,4
91,464503.6,5803958.4,4
92,464512.8,5803733.9,4
93,464522,5804032.6,4
94,464527.3,5803734.5,4
95,464535.9,5803809.5,4
96,464567.1,5803668.6,4
97,463903.9,5804008.3,5
98,463938.6,5803864,5
99,463941.8,5803945.2,5
100,463944.8,5803976.2,5
101,463948.1,5804010,5
102,463954.3,5804004.9,5
103,463976.7,5804054,5
104,463996.6,5804028.1,5
105,464009.8,5804078.8,5
106,464014,5804069.2,5
107,464014.3,5804071.8,5
108,464062,5804075.7,5
109,464069.7,5804023.6,5
110,463549.9,5802874.2,6
111,463557.9,5802945.8,6
112,463560.1,5802957.6,6
113,463581.8,5802876.2,6
114,463588.8,5802891.2,6
115,463596.8,5802909.3,6
116,463597.7,5802818.6,6
117,463600.7,5802963,6
