pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.139.139.9,2,139,139,9,0.86,462697.3,5803396.3,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.139.139.10,2,139,139,10,0.88,462697.3,5803396.3,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.139.139.11,2,139,139,11,0.08,462697.3,5803396.3,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.140.140.9,2,140,140,9,1.07,462763.8,5803253.8,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.140.140.10,2,140,140,10,1.08,462763.8,5803253.8,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.140.140.11,2,140,140,11,0.11,462763.8,5803253.8,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.149.149.9,2,149,149,9,0.66,462862.0,5803473.7,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.149.149.10,2,149,149,10,0.66,462862.0,5803473.7,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.149.149.11,2,149,149,11,0.06,462862.0,5803473.7,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.150.150.9,2,150,150,9,0.96,462874.5,5803320.6,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.150.150.10,2,150,150,10,1.01,462874.5,5803320.6,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.150.150.11,2,150,150,11,0.09,462874.5,5803320.6,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.151.151.9,2,151,151,9,1.11,462879.4,5803412.8,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.151.151.10,2,151,151,10,1.13,462879.4,5803412.8,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.151.151.11,2,151,151,11,0.1,462879.4,5803412.8,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.152.152.9,2,152,152,9,0.99,462963.1,5803628.4,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.152.152.10,2,152,152,10,1.01,462963.1,5803628.4,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.152.152.11,2,152,152,11,0.09,462963.1,5803628.4,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.155.155.9,2,155,155,9,0.99,463008.5,5803497.6,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.155.155.10,2,155,155,10,1.0,463008.5,5803497.6,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.155.155.11,2,155,155,11,0.09,463008.5,5803497.6,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.156.156.9,2,156,156,9,0.99,463018.1,5803182.0,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.156.156.10,2,156,156,10,1.02,463018.1,5803182.0,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.156.156.11,2,156,156,11,0.09,463018.1,5803182.0,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.161.161.9,2,161,161,9,1.08,463102.9,5803247.0,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.161.161.10,2,161,161,10,1.09,463102.9,5803247.0,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.161.161.11,2,161,161,11,0.1,463102.9,5803247.0,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.162.162.9,2,162,162,9,1.9,463123.8,5803618.0,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.162.162.10,2,162,162,10,1.93,463123.8,5803618.0,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.162.162.11,2,162,162,11,0.16,463123.8,5803618.0,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.164.164.9,2,164,164,9,1.15,463145.2,5803491.1,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.164.164.10,2,164,164,10,1.18,463145.2,5803491.1,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.164.164.11,2,164,164,11,0.11,463145.2,5803491.1,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.165.165.9,2,165,165,9,1.32,463195.2,5803066.6,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.165.165.10,2,165,165,10,1.35,463195.2,5803066.6,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.165.165.11,2,165,165,11,0.13,463195.2,5803066.6,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.174.174.9,2,174,174,9,1.34,463302.6,5803239.9,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.174.174.10,2,174,174,10,1.37,463302.6,5803239.9,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.174.174.11,2,174,174,11,0.13,463302.6,5803239.9,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.176.176.9,2,176,176,9,1.32,463344.3,5803289.2,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.176.176.10,2,176,176,10,1.34,463344.3,5803289.2,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.176.176.11,2,176,176,11,0.13,463344.3,5803289.2,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
2.178.178.9,2,178,178,9,1.2,463396.4,5803486.9,7,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,16
2.178.178.10,2,178,178,10,1.2,463396.4,5803486.9,7,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,16
2.178.178.11,2,178,178,11,0.11,463396.4,5803486.9,7,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,16
