pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.711.768.9,2,711,768,9,0.91,462092.5,5803640.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.711.768.10,2,711,768,10,0.91,462092.5,5803640.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.711.768.11,2,711,768,11,0.07,462092.5,5803640.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.715.772.9,2,715,772,9,0.64,462164.4,5803783.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.715.772.10,2,715,772,10,0.68,462164.4,5803783.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.715.772.11,2,715,772,11,0.05,462164.4,5803783.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.720.777.9,2,720,777,9,0.55,462190.9,5803750.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.720.777.10,2,720,777,10,0.56,462190.9,5803750.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.720.777.11,2,720,777,11,0.04,462190.9,5803750.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.726.783.9,2,726,783,9,1.66,462241.8,5803842.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.726.783.10,2,726,783,10,1.68,462241.8,5803842.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.726.783.11,2,726,783,11,0.12,462241.8,5803842.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.730.787.9,2,730,787,9,0.92,462257.8,5803671.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.730.787.10,2,730,787,10,0.94,462257.8,5803671.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.730.787.11,2,730,787,11,0.08,462257.8,5803671.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.738.795.9,2,738,795,9,1.84,462382.9,5803480.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.738.795.10,2,738,795,10,1.93,462382.9,5803480.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.738.795.11,2,738,795,11,0.17,462382.9,5803480.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
2.740.797.9,2,740,797,9,1.06,462483.5,5803403.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,17
2.740.797.10,2,740,797,10,1.11,462483.5,5803403.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,17
2.740.797.11,2,740,797,11,0.1,462483.5,5803403.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,17
