pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.655.712.9,2,655,712,9,0.58,461486.8,5804078.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.655.712.10,2,655,712,10,0.59,461486.8,5804078.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.655.712.11,2,655,712,11,0.05,461486.8,5804078.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.656.713.9,2,656,713,9,0.48,461519.9,5804067.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.656.713.10,2,656,713,10,0.5,461519.9,5804067.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.656.713.11,2,656,713,11,0.04,461519.9,5804067.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.664.721.9,2,664,721,9,1.16,461674.2,5804018.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.664.721.10,2,664,721,10,1.17,461674.2,5804018.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.664.721.11,2,664,721,11,0.11,461674.2,5804018.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.665.722.9,2,665,722,9,1.05,461674.6,5804402.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.665.722.10,2,665,722,10,1.06,461674.6,5804402.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.665.722.11,2,665,722,11,0.09,461674.6,5804402.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.667.724.9,2,667,724,9,0.75,461706.9,5804112.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.667.724.10,2,667,724,10,0.77,461706.9,5804112.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.667.724.11,2,667,724,11,0.07,461706.9,5804112.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.671.728.9,2,671,728,9,1.04,461757.5,5804475.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.671.728.10,2,671,728,10,1.04,461757.5,5804475.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.671.728.11,2,671,728,11,0.09,461757.5,5804475.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.672.729.9,2,672,729,9,1.54,461763.2,5803836.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.672.729.10,2,672,729,10,1.59,461763.2,5803836.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.672.729.11,2,672,729,11,0.13,461763.2,5803836.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.673.730.9,2,673,730,9,0.93,461790.4,5804629.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.673.730.10,2,673,730,10,0.95,461790.4,5804629.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.673.730.11,2,673,730,11,0.09,461790.4,5804629.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.674.731.9,2,674,731,9,1.03,461796.2,5804149.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.674.731.10,2,674,731,10,1.04,461796.2,5804149.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.674.731.11,2,674,731,11,0.09,461796.2,5804149.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.677.734.9,2,677,734,9,0.88,461812.7,5804579.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.677.734.10,2,677,734,10,0.9,461812.7,5804579.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.677.734.11,2,677,734,11,0.07,461812.7,5804579.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.680.737.9,2,680,737,9,0.88,461833.1,5804146.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.680.737.10,2,680,737,10,0.88,461833.1,5804146.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.680.737.11,2,680,737,11,0.07,461833.1,5804146.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.682.739.9,2,682,739,9,0.54,461851.8,5804363.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.682.739.10,2,682,739,10,0.55,461851.8,5804363.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.682.739.11,2,682,739,11,0.05,461851.8,5804363.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.683.740.9,2,683,740,9,1.37,461856.1,5804267.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.683.740.10,2,683,740,10,1.37,461856.1,5804267.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.683.740.11,2,683,740,11,0.12,461856.1,5804267.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.687.744.9,2,687,744,9,1.02,461903.7,5804621.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.687.744.10,2,687,744,10,1.05,461903.7,5804621.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.687.744.11,2,687,744,11,0.09,461903.7,5804621.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.688.745.9,2,688,745,9,0.86,461906.6,5804193.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.688.745.10,2,688,745,10,0.89,461906.6,5804193.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.688.745.11,2,688,745,11,0.07,461906.6,5804193.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.690.747.9,2,690,747,9,0.54,461924.7,5804081.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.690.747.10,2,690,747,10,0.55,461924.7,5804081.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.690.747.11,2,690,747,11,0.04,461924.7,5804081.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.692.749.9,2,692,749,9,1.02,461930.7,5804480.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.692.749.10,2,692,749,10,1.05,461930.7,5804480.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.692.749.11,2,692,749,11,0.09,461930.7,5804480.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.697.754.9,2,697,754,9,1.36,461995.4,5803955.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.697.754.10,2,697,754,10,1.39,461995.4,5803955.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.697.754.11,2,697,754,11,0.12,461995.4,5803955.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.698.755.9,2,698,755,9,1.16,461996.6,5804123.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.698.755.10,2,698,755,10,1.16,461996.6,5804123.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.698.755.11,2,698,755,11,0.1,461996.6,5804123.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.707.764.9,2,707,764,9,0.88,462066.9,5803832.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.707.764.10,2,707,764,10,0.9,462066.9,5803832.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.707.764.11,2,707,764,11,0.07,462066.9,5803832.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.716.773.9,2,716,773,9,1.08,462169.1,5804618.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.716.773.10,2,716,773,10,1.1,462169.1,5804618.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.716.773.11,2,716,773,11,0.09,462169.1,5804618.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.723.780.9,2,723,780,9,0.95,462197.6,5804535.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.723.780.10,2,723,780,10,0.99,462197.6,5804535.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.723.780.11,2,723,780,11,0.08,462197.6,5804535.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.725.782.9,2,725,782,9,0.92,462231.6,5804469.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.725.782.10,2,725,782,10,0.96,462231.6,5804469.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.725.782.11,2,725,782,11,0.08,462231.6,5804469.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
2.727.784.9,2,727,784,9,0.91,462243.7,5804613.0,19,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,13
2.727.784.10,2,727,784,10,0.91,462243.7,5804613.0,19,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,13
2.727.784.11,2,727,784,11,0.08,462243.7,5804613.0,19,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,13
