pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.250.250.9,2,250,250,9,0.72,463119.8,5804767.1,11,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,9
2.250.250.10,2,250,250,10,0.77,463119.8,5804767.1,11,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,9
2.250.250.11,2,250,250,11,0.07,463119.8,5804767.1,11,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,9
2.251.251.9,2,251,251,9,0.64,463186.0,5804738.3,11,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,9
2.251.251.10,2,251,251,10,0.65,463186.0,5804738.3,11,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,9
2.251.251.11,2,251,251,11,0.06,463186.0,5804738.3,11,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,9
2.252.252.1,2,252,252,1,3.98,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Clay,Cl,M%,DIN ISO 11277,9
2.252.252.2,2,252,252,2,1.75,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Fine silt,fSi,M%,DIN ISO 11277,9
2.252.252.3,2,252,252,3,2.88,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Middle silt,mSi,M%,DIN ISO 11277,9
2.252.252.4,2,252,252,4,10.18,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Coarse silt,cSi,M%,DIN ISO 11277,9
2.252.252.5,2,252,252,5,35.6,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Fine sand,fSa,M%,DIN ISO 11277,9
2.252.252.6,2,252,252,6,37.77,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Middle sand,mSa,M%,DIN ISO 11277,9
2.252.252.7,2,252,252,7,7.83,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Coarse sand,cSa,M%,DIN ISO 11277,9
2.252.252.8,2,252,252,8,6.8,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,soil pH,pH,,DIN ISO 10390,9
2.252.252.9,2,252,252,9,0.71,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Soil organic carbon,SOC,M%,DIN ISO 10694,9
2.252.252.10,2,252,252,10,0.72,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Total carbon,TC,M%,DIN ISO 10694,9
2.252.252.11,2,252,252,11,0.07,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Totoal nitrogen,TN,M%,DIN ISO 10694,9
2.252.252.12,2,252,252,12,7.5,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",9
2.252.252.13,2,252,252,13,10.0,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",9
2.252.252.14,2,252,252,14,7.0,463186.7,5804812.2,11,1,1,2017-09-28,2017-09-29,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,9
2.252.253.8,2,252,253,8,6.8,463186.7,5804812.2,11,29,29,2021-08-04,2021-08-23,soil pH,pH,,DIN ISO 10390,9
2.252.253.12,2,252,253,12,8.6,463186.7,5804812.2,11,29,29,2021-08-04,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",9
2.252.253.13,2,252,253,13,14.0,463186.7,5804812.2,11,29,29,2021-08-04,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",9
2.252.253.14,2,252,253,14,4.3,463186.7,5804812.2,11,29,29,2021-08-04,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,9
2.253.254.1,2,253,254,1,1.96,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Clay,Cl,M%,DIN ISO 11277,9
2.253.254.2,2,253,254,2,2.25,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Fine silt,fSi,M%,DIN ISO 11277,9
2.253.254.3,2,253,254,3,2.17,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Middle silt,mSi,M%,DIN ISO 11277,9
2.253.254.4,2,253,254,4,9.66,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Coarse silt,cSi,M%,DIN ISO 11277,9
2.253.254.5,2,253,254,5,29.55,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Fine sand,fSa,M%,DIN ISO 11277,9
2.253.254.6,2,253,254,6,41.89,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Middle sand,mSa,M%,DIN ISO 11277,9
2.253.254.7,2,253,254,7,12.52,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Coarse sand,cSa,M%,DIN ISO 11277,9
2.253.254.8,2,253,254,8,6.8,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,soil pH,pH,,DIN ISO 10390,9
2.253.254.9,2,253,254,9,0.7,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Soil organic carbon,SOC,M%,DIN ISO 10694,9
2.253.254.10,2,253,254,10,0.72,463193.1,5804778.6,11,1,1,2017-09-28,2017-09-29,Total carbon,TC,M%,DIN ISO 10694,9
