pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.1090.1147.9,2,1090,1147,9,1.76,462905.0,5802172.4,36,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,21
2.1090.1147.10,2,1090,1147,10,1.92,462905.0,5802172.4,36,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,21
2.1090.1147.11,2,1090,1147,11,0.18,462905.0,5802172.4,36,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,21
2.1098.1155.9,2,1098,1155,9,0.56,462977.8,5802476.6,36,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,21
2.1098.1155.10,2,1098,1155,10,0.6,462977.8,5802476.6,36,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,21
2.1098.1155.11,2,1098,1155,11,0.05,462977.8,5802476.6,36,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,21
2.1100.1157.9,2,1100,1157,9,0.75,463022.4,5802467.4,36,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,21
2.1100.1157.10,2,1100,1157,10,0.78,463022.4,5802467.4,36,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,21
2.1100.1157.11,2,1100,1157,11,0.07,463022.4,5802467.4,36,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,21
2.1102.1159.9,2,1102,1159,9,2.2,463051.1,5802299.3,36,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,21
2.1102.1159.10,2,1102,1159,10,2.4,463051.1,5802299.3,36,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,21
2.1102.1159.11,2,1102,1159,11,0.22,463051.1,5802299.3,36,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,21
