pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.110.110.9,2,110,110,9,1.67,463549.9,5802874.2,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
2.110.110.10,2,110,110,10,1.69,463549.9,5802874.2,6,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,27
2.110.110.11,2,110,110,11,0.17,463549.9,5802874.2,6,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,27
2.117.117.9,2,117,117,9,1.32,463600.7,5802963.0,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
2.117.117.10,2,117,117,10,1.33,463600.7,5802963.0,6,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,27
2.117.117.11,2,117,117,11,0.13,463600.7,5802963.0,6,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,27
2.119.119.9,2,119,119,9,1.01,463607.0,5802932.1,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
2.119.119.10,2,119,119,10,1.04,463607.0,5802932.1,6,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,27
2.119.119.11,2,119,119,11,0.09,463607.0,5802932.1,6,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,27
2.121.121.9,2,121,121,9,0.85,463638.8,5802928.0,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
2.121.121.10,2,121,121,10,0.88,463638.8,5802928.0,6,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,27
2.121.121.11,2,121,121,11,0.08,463638.8,5802928.0,6,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,27
2.122.122.9,2,122,122,9,1.25,463643.7,5802875.0,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
2.122.122.10,2,122,122,10,1.29,463643.7,5802875.0,6,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,27
2.122.122.11,2,122,122,11,0.13,463643.7,5802875.0,6,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,27
2.123.123.9,2,123,123,9,0.72,463667.0,5802801.7,6,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,27
