pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.642.699.9,2,642,699,9,1.58,462384.5,5803932.2,18,20,20,2021-04-06,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,25
2.642.699.10,2,642,699,10,1.6,462384.5,5803932.2,18,20,20,2021-04-06,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,25
2.642.699.11,2,642,699,11,0.14,462384.5,5803932.2,18,20,20,2021-04-06,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,25
2.644.701.9,2,644,701,9,1.64,462474.9,5803841.8,18,20,20,2021-04-06,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,25
2.644.701.10,2,644,701,10,1.66,462474.9,5803841.8,18,20,20,2021-04-06,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,25
2.644.701.11,2,644,701,11,0.15,462474.9,5803841.8,18,20,20,2021-04-06,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,25
2.649.706.9,2,649,706,9,1.21,462564.3,5803911.2,18,20,20,2021-04-06,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,25
2.649.706.10,2,649,706,10,1.25,462564.3,5803911.2,18,20,20,2021-04-06,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,25
2.649.706.11,2,649,706,11,0.11,462564.3,5803911.2,18,20,20,2021-04-06,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,25
2.653.710.9,2,653,710,9,1.86,462614.8,5803833.4,18,20,20,2021-04-06,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,25
2.653.710.10,2,653,710,10,1.88,462614.8,5803833.4,18,20,20,2021-04-06,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,25
2.653.710.11,2,653,710,11,0.17,462614.8,5803833.4,18,20,20,2021-04-06,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,25
