pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.522.578.9,2,522,578,9,0.95,461572.4,5805074.0,15,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,6
2.522.578.10,2,522,578,10,0.97,461572.4,5805074.0,15,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,6
2.522.578.11,2,522,578,11,0.09,461572.4,5805074.0,15,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,6
2.526.582.9,2,526,582,9,1.0,461611.5,5805079.1,15,20,20,2021-04-06,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,6
2.526.582.10,2,526,582,10,1.02,461611.5,5805079.1,15,20,20,2021-04-06,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,6
2.526.582.11,2,526,582,11,0.09,461611.5,5805079.1,15,20,20,2021-04-06,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,6
2.527.583.9,2,527,583,9,1.23,461649.3,5805076.3,15,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,6
2.527.583.10,2,527,583,10,1.24,461649.3,5805076.3,15,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,6
2.527.583.11,2,527,583,11,0.11,461649.3,5805076.3,15,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,6
2.531.587.9,2,531,587,9,1.04,461704.7,5805015.8,15,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,6
2.531.587.10,2,531,587,10,1.06,461704.7,5805015.8,15,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,6
2.531.587.11,2,531,587,11,0.09,461704.7,5805015.8,15,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,6
2.534.590.9,2,534,590,9,0.95,461753.1,5805101.2,15,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,6
2.534.590.10,2,534,590,10,0.96,461753.1,5805101.2,15,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,6
2.534.590.11,2,534,590,11,0.09,461753.1,5805101.2,15,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,6
2.536.592.9,2,536,592,9,0.78,461797.3,5805118.5,15,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,6
