pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.741.798.1,2,741,798,1,2.08,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Clay,Cl,M%,DIN ISO 11277,42
2.741.798.2,2,741,798,2,1.04,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Fine silt,fSi,M%,DIN ISO 11277,42
2.741.798.3,2,741,798,3,0.94,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Middle silt,mSi,M%,DIN ISO 11277,42
2.741.798.4,2,741,798,4,3.57,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Coarse silt,cSi,M%,DIN ISO 11277,42
2.741.798.5,2,741,798,5,22.79,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Fine sand,fSa,M%,DIN ISO 11277,42
2.741.798.6,2,741,798,6,61.69,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Middle sand,mSa,M%,DIN ISO 11277,42
2.741.798.7,2,741,798,7,7.9,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Coarse sand,cSa,M%,DIN ISO 11277,42
2.741.798.8,2,741,798,8,3.8,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,soil pH,pH,,DIN ISO 10390,42
2.741.798.9,2,741,798,9,0.5,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Soil organic carbon,SOC,M%,DIN ISO 10694,42
2.741.798.10,2,741,798,10,0.5,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Total carbon,TC,M%,DIN ISO 10694,42
2.741.798.11,2,741,798,11,0.05,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Totoal nitrogen,TN,M%,DIN ISO 10694,42
2.741.798.12,2,741,798,12,5.2,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",42
2.741.798.13,2,741,798,13,4.0,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",42
2.741.798.14,2,741,798,14,1.5,461995.3,5804366.5,20,30,30,2021-08-19,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,42
2.742.799.1,2,742,799,1,3.64,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Clay,Cl,M%,DIN ISO 11277,42
2.742.799.2,2,742,799,2,3.19,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Fine silt,fSi,M%,DIN ISO 11277,42
2.742.799.3,2,742,799,3,5.78,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Middle silt,mSi,M%,DIN ISO 11277,42
2.742.799.4,2,742,799,4,9.65,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Coarse silt,cSi,M%,DIN ISO 11277,42
2.742.799.5,2,742,799,5,36.71,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Fine sand,fSa,M%,DIN ISO 11277,42
2.742.799.6,2,742,799,6,32.95,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Middle sand,mSa,M%,DIN ISO 11277,42
2.742.799.7,2,742,799,7,8.08,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Coarse sand,cSa,M%,DIN ISO 11277,42
2.742.799.8,2,742,799,8,4.2,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,soil pH,pH,,DIN ISO 10390,42
2.742.799.9,2,742,799,9,0.87,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Soil organic carbon,SOC,M%,DIN ISO 10694,42
2.742.799.10,2,742,799,10,0.89,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Total carbon,TC,M%,DIN ISO 10694,42
2.742.799.11,2,742,799,11,0.09,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Totoal nitrogen,TN,M%,DIN ISO 10694,42
2.742.799.12,2,742,799,12,2.7,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",42
2.742.799.13,2,742,799,13,12.0,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",42
2.742.799.14,2,742,799,14,1.5,462091.0,5804457.2,20,30,30,2021-08-19,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,42
2.743.800.1,2,743,800,1,3.19,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Clay,Cl,M%,DIN ISO 11277,42
2.743.800.2,2,743,800,2,2.73,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Fine silt,fSi,M%,DIN ISO 11277,42
2.743.800.3,2,743,800,3,4.44,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Middle silt,mSi,M%,DIN ISO 11277,42
2.743.800.4,2,743,800,4,10.57,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Coarse silt,cSi,M%,DIN ISO 11277,42
2.743.800.5,2,743,800,5,33.38,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Fine sand,fSa,M%,DIN ISO 11277,42
2.743.800.6,2,743,800,6,37.23,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Middle sand,mSa,M%,DIN ISO 11277,42
2.743.800.7,2,743,800,7,8.47,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Coarse sand,cSa,M%,DIN ISO 11277,42
2.743.800.8,2,743,800,8,3.9,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,soil pH,pH,,DIN ISO 10390,42
2.743.800.9,2,743,800,9,0.91,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Soil organic carbon,SOC,M%,DIN ISO 10694,42
2.743.800.10,2,743,800,10,0.96,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Total carbon,TC,M%,DIN ISO 10694,42
2.743.800.11,2,743,800,11,0.09,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Totoal nitrogen,TN,M%,DIN ISO 10694,42
2.743.800.12,2,743,800,12,4.3,462126.5,5804277.7,20,30,30,2021-08-19,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",42
