pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.363.400.9,2,363,400,9,1.03,462689.6,5804733.9,13,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,8
2.363.400.10,2,363,400,10,1.08,462689.6,5804733.9,13,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,8
2.363.400.11,2,363,400,11,0.1,462689.6,5804733.9,13,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,8
2.364.401.9,2,364,401,9,0.71,462762.5,5804982.1,13,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,8
2.364.401.10,2,364,401,10,0.74,462762.5,5804982.1,13,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,8
2.364.401.11,2,364,401,11,0.07,462762.5,5804982.1,13,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,8
2.366.403.9,2,366,403,9,0.92,462834.9,5805340.8,13,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,8
2.366.403.10,2,366,403,10,0.94,462834.9,5805340.8,13,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,8
2.366.403.11,2,366,403,11,0.09,462834.9,5805340.8,13,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,8
2.368.405.9,2,368,405,9,1.04,462842.8,5804848.2,13,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,8
2.368.405.10,2,368,405,10,1.08,462842.8,5804848.2,13,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,8
2.368.405.11,2,368,405,11,0.1,462842.8,5804848.2,13,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,8
2.370.407.9,2,370,407,9,0.95,462914.3,5805423.9,13,8,8,2018-12-11,2018-12-12,Soil organic carbon,SOC,M%,DIN ISO 10694,8
2.370.407.10,2,370,407,10,0.98,462914.3,5805423.9,13,8,8,2018-12-11,2018-12-12,Total carbon,TC,M%,DIN ISO 10694,8
2.370.407.11,2,370,407,11,0.08,462914.3,5805423.9,13,8,8,2018-12-11,2018-12-12,Totoal nitrogen,TN,M%,DIN ISO 10694,8
2.371.408.1,2,371,408,1,7.8,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Clay,Cl,M%,DIN ISO 11277,8
2.371.408.2,2,371,408,2,1.39,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Fine silt,fSi,M%,DIN ISO 11277,8
2.371.408.3,2,371,408,3,5.21,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Middle silt,mSi,M%,DIN ISO 11277,8
2.371.408.4,2,371,408,4,10.99,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Coarse silt,cSi,M%,DIN ISO 11277,8
2.371.408.5,2,371,408,5,36.19,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Fine sand,fSa,M%,DIN ISO 11277,8
2.371.408.6,2,371,408,6,32.31,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Middle sand,mSa,M%,DIN ISO 11277,8
2.371.408.7,2,371,408,7,6.11,462921.2,5804777.7,13,2,2,2017-10-04,2017-10-05,Coarse sand,cSa,M%,DIN ISO 11277,8
