pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.399.428.1,1,399,428,1,5.23,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Clay,Cl,M%,DIN ISO 11277,5
1.399.428.2,1,399,428,2,2.84,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Fine silt,fSi,M%,DIN ISO 11277,5
1.399.428.3,1,399,428,3,3.48,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Middle silt,mSi,M%,DIN ISO 11277,5
1.399.428.4,1,399,428,4,5.4,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Coarse silt,cSi,M%,DIN ISO 11277,5
1.399.428.5,1,399,428,5,38.42,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Fine sand,fSa,M%,DIN ISO 11277,5
1.399.428.6,1,399,428,6,37.2,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Middle sand,mSa,M%,DIN ISO 11277,5
1.399.428.7,1,399,428,7,7.43,423069.5,5890507.1,31,15,2019-11-12,2019-11-20,Coarse sand,cSa,M%,DIN ISO 11277,5
1.400.429.1,1,400,429,1,3.07,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Clay,Cl,M%,DIN ISO 11277,5
1.400.429.2,1,400,429,2,1.79,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Fine silt,fSi,M%,DIN ISO 11277,5
1.400.429.3,1,400,429,3,0.94,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Middle silt,mSi,M%,DIN ISO 11277,5
1.400.429.4,1,400,429,4,4.4,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Coarse silt,cSi,M%,DIN ISO 11277,5
1.400.429.5,1,400,429,5,39.91,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Fine sand,fSa,M%,DIN ISO 11277,5
1.400.429.6,1,400,429,6,41.46,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Middle sand,mSa,M%,DIN ISO 11277,5
1.400.429.7,1,400,429,7,8.43,423080.2,5890464.7,31,15,2019-11-12,2019-11-20,Coarse sand,cSa,M%,DIN ISO 11277,5
1.401.430.1,1,401,430,1,2.27,423108.8,5890420.1,31,15,2019-11-12,2019-11-20,Clay,Cl,M%,DIN ISO 11277,5
1.401.430.2,1,401,430,2,1.06,423108.8,5890420.1,31,15,2019-11-12,2019-11-20,Fine silt,fSi,M%,DIN ISO 11277,5
1.401.430.3,1,401,430,3,0.97,423108.8,5890420.1,31,15,2019-11-12,2019-11-20,Middle silt,mSi,M%,DIN ISO 11277,5
1.401.430.4,1,401,430,4,5.29,423108.8,5890420.1,31,15,2019-11-12,2019-11-20,Coarse silt,cSi,M%,DIN ISO 11277,5
