pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.48.48.8,1,48,48,8,6.2,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,soil pH,pH,,DIN ISO 10390,2
1.48.48.9,1,48,48,9,0.64,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.48.48.10,1,48,48,10,0.64,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.48.48.11,1,48,48,11,0.06,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,2
1.48.48.12,1,48,48,12,6.0,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",2
1.48.48.13,1,48,48,13,11.0,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",2
1.48.48.14,1,48,48,14,7.6,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,2
1.49.49.1,1,49,49,1,13.17,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Clay,Cl,M%,DIN ISO 11277,2
1.49.49.2,1,49,49,2,1.53,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Fine silt,fSi,M%,DIN ISO 11277,2
1.49.49.3,1,49,49,3,7.33,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Middle silt,mSi,M%,DIN ISO 11277,2
1.49.49.4,1,49,49,4,14.5,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Coarse silt,cSi,M%,DIN ISO 11277,2
1.49.49.5,1,49,49,5,36.52,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Fine sand,fSa,M%,DIN ISO 11277,2
1.49.49.6,1,49,49,6,22.53,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Middle sand,mSa,M%,DIN ISO 11277,2
1.49.49.7,1,49,49,7,4.42,428143.4,5885915.0,8,3,2018-07-26,2018-08-03,Coarse sand,cSa,M%,DIN ISO 11277,2
1.50.50.8,1,50,50,8,4.8,428149.4,5885890.7,8,13,2019-08-15,2019-08-21,soil pH,pH,,DIN ISO 10390,2
