point_ID,X,Y,field_ID
223,426978.5,5884570.6,21
224,427009.9,5884881.5,21
225,427018.3,5884855.3,21
226,427031.1,5884572.6,21
227,427074.3,5884673.7,21
228,427087.3,5884879.4,21
229,427087.6,5884622.1,21
230,427096.9,5884816.7,21
231,427107.9,5884728.2,21
232,427113.4,5884764.4,21
233,427127.7,5884590.6,21
234,427168.8,5884628,21
235,427182.6,5884690.4,21
236,427228.6,5884571.9,21
237,427250,5884507.6,21
238,426307.9,5884439,22
239,426385.4,5884644.2,22
240,426445.5,5884331.5,22
241,426558.1,5884869.3,22
242,426137.8,5884729.2,23
243,426217.8,5884601.6,23
244,426017.9,5885255,24
245,426029.7,5885165.9,24
246,426038.4,5885271.3,24
247,426061.3,5885121.5,24
248,426061.7,5885036.6,24
249,426067.5,5885207.1,24
250,426070.1,5885427.3,24
251,426072.7,5884894.6,24
252,426094.1,5884917.1,24
253,426095.7,5885175.7,24
254,426099.8,5885403.6,24
255,426103.4,5884992.6,24
256,426128.4,5885028.6,24
257,426128.5,5885038.1,24
258,426129.3,5885018.7,24
259,426145.6,5885317.4,24
260,426147.1,5885437.5,24
261,426151.7,5885311.9,24
262,426155.5,5884948.1,24
263,426156.2,5885305.2,24
264,426159.2,5884967.6,24
265,426163.2,5885394.9,24
266,426163.8,5885337.4,24
267,426166.6,5885316,24
268,426170.4,5885071.4,24
269,426188.4,5885071.2,24
270,426193.3,5885341.8,24
271,426194.4,5885252.3,24
272,426196.5,5885236.1,24
273,426202.1,5885116.3,24
274,426206.1,5885271.8,24
275,426206.7,5885128.7,24
276,426208.1,5885247.4,24
277,426209,5885218.7,24
278,426213.7,5884960,24
279,426218.1,5885242.5,24
280,426220.4,5885263.3,24
281,426222.8,5885225.2,24
282,426223.4,5885009.4,24
283,426225.7,5885240.6,24
284,426227.5,5885109.7,24
285,426229.7,5885131.9,24
286,426249.7,5885135.7,24
287,426251.8,5885206.9,24
288,426254.1,5885220.9,24
289,426254.5,5885134.6,24
290,426255.5,5885136.7,24
291,426256,5884979.7,24
292,426258.3,5885166.4,24
293,426259.9,5885112.5,24
294,426260.4,5885138.8,24
295,426261.2,5885331.9,24
296,426262.8,5885224.1,24
297,426264,5885184.1,24
298,426273.4,5885200.5,24
299,426281.8,5885195.7,24
300,426281.8,5885234.6,24
301,426281.8,5885239.9,24
302,426286.5,5885182.1,24
303,426290.3,5885141.7,24
304,426294.6,5885199.3,24
305,426295.9,5885242,24
306,426304,5885078.5,24
307,426304.4,5885209.4,24
308,426304.4,5885245.6,24
309,426304.8,5885300,24
310,426305.7,5885224.7,24
311,426308.2,5885089.3,24
312,426317.9,5885248.9,24
313,426319,5885084.6,24
314,426319.3,5885067.2,24
315,426325.6,5885225.5,24
316,426330.5,5885197.2,24
317,426335.7,5885241.6,24
318,426337,5885175.1,24
319,426337.8,5885095.8,24
320,426342.3,5884986.9,24
321,426345,5885205.8,24
322,426345.2,5885109.7,24
323,426346.6,5885064.2,24
324,426347.4,5885329.8,24
325,426357.8,5885180.8,24
326,426362.9,5885194.5,24
327,426369.4,5885082.1,24
328,426371.5,5885079.4,24
329,426374,5885153.6,24
330,426379.5,5885083,24
331,426380.5,5885133.5,24
332,426382.5,5885219.7,24
333,426382.7,5885109.3,24
334,426384.3,5885221.4,24
335,426393.6,5885050.1,24
336,426394.3,5885016.6,24
337,426395.9,5885183.3,24
338,426396.4,5885069.2,24
339,426397.5,5885091.5,24
340,426401.5,5885067.8,24
341,426403.4,5885045.8,24
342,426406.2,5885062.7,24
343,426406.9,5885071.6,24
344,426410.5,5885115.7,24
345,426416.2,5885125.9,24
346,426416.5,5885116.6,24
347,426416.7,5885106.8,24
348,426420.9,5885061.6,24
349,426424.6,5885036.1,24
350,426430.9,5885277.5,24
351,426432.2,5885268.6,24
352,426436.8,5885074.7,24
353,426438.2,5885147.3,24
354,426438.8,5885126.6,24
355,426446.1,5885065.9,24
356,426457.7,5885095.8,24
357,426460.2,5885132.1,24
358,426463.7,5885108.8,24
359,426488.7,5885140.4,24
360,426540.5,5885135.2,24
361,426556.5,5885107.1,24
362,426232.8,5885532.3,25
363,426340.4,5885810,25
364,426345.4,5885629.9,25
365,426490.5,5885442.2,25
366,426538,5885674.9,25
367,426735.7,5885524.8,25
368,424816.8,5885132,26
