lab_ID,date_ID
1,21
2,21
3,21
4,21
5,21
6,21
7,16
8,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
16,16
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
25,19
26,21
27,21
28,21
29,21
30,21
31,21
32,22
33,22
34,22
35,22
36,22
37,21
38,21
39,21
40,21
41,21
42,21
43,21
44,21
45,21
46,21
47,21
48,3
49,3
50,13
51,3
52,3
53,3
54,13
55,3
56,13
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,13
74,3
75,3
76,3
77,3
78,3
79,13
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,13
95,3
96,8
97,3
98,13
99,13
100,3
101,3
102,3
103,8
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,13
112,3
113,3
114,3
115,13
116,3
117,3
118,3
119,8
120,3
121,3
122,3
123,3
124,3
125,3
126,8
127,8
128,21
129,21
130,21
131,21
132,16
133,16
134,16
135,16
136,16
137,16
138,16
139,16
140,16
141,16
142,22
143,22
144,22
145,22
146,22
147,21
148,21
149,21
150,21
151,21
152,21
153,22
154,22
155,22
156,22
157,22
158,21
159,21
160,21
161,21
162,21
163,21
164,21
165,21
166,21
167,21
168,21
169,21
170,21
171,21
172,21
173,21
174,21
175,21
176,21
177,21
178,22
179,22
180,22
181,22
182,22
183,21
184,21
185,21
186,21
187,21
188,22
189,22
190,22
191,22
192,22
193,3
194,3
195,3
196,3
197,3
198,21
199,3
200,21
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,21
219,3
220,3
221,3
222,21
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,21
235,3
236,3
237,3
238,21
239,21
240,21
241,21
242,21
243,21
244,5
245,2
246,5
247,2
248,5
249,2
250,5
251,5
252,2
253,2
254,5
255,5
256,2
257,5
258,5
259,5
260,2
261,5
262,2
263,5
264,5
265,1
266,5
267,1
268,1
269,5
270,2
271,5
272,5
273,5
274,5
275,5
276,13
277,18
278,2
279,13
280,1
281,5
282,2
283,5
284,12
285,13
286,9
287,6
288,2
289,10
290,11
291,12
292,5
293,1
294,13
295,5
296,5
297,1
298,6
299,11
300,10
301,13
302,9
303,18
304,5
305,12
306,12
307,5
308,12
309,19
310,18
311,11
312,1
313,6
314,13
315,9
316,10
317,1
318,5
319,5
320,5
321,13
322,5
323,2
324,13
325,12
326,5
327,18
328,2
329,2
330,13
331,5
332,6
333,9
334,10
335,11
336,18
337,5
338,18
339,2
340,5
341,12
342,18
343,5
344,12
345,5
346,12
347,13
348,12
349,18
350,6
351,5
352,11
353,13
354,9
355,10
356,5
357,1
358,5
359,13
360,1
361,12
362,13
363,5
364,13
365,12
366,5
367,13
368,6
369,9
370,11
371,10
372,1
373,5
374,5
375,5
376,5
377,5
378,13
379,5
380,2
381,5
382,18
383,18
384,12
385,12
386,12
387,2
388,1
389,5
390,5
391,21
392,21
393,21
394,21
395,21
396,21
397,21
398,21
399,21
400,21
401,21
402,22
403,22
404,22
405,22
406,22
407,21
408,21
409,21
410,21
411,21
412,20
413,20
414,20
415,20
416,20
417,20
418,20
419,20
420,20
421,20
422,20
423,20
424,20
425,20
426,20
427,20
428,15
429,15
430,15
431,15
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,15
441,15
442,4
443,15
444,4
445,15
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
457,15
458,4
459,4
460,4
461,15
462,4
463,4
464,4
465,4
466,4
467,4
468,15
469,4
470,4
471,4
472,15
473,4
474,4
475,4
476,4
477,4
478,15
479,4
480,4
481,4
482,4
483,4
484,4
485,15
486,4
487,15
488,4
489,15
490,4
491,4
492,4
493,4
494,4
495,4
496,22
497,22
498,22
499,22
500,22
501,22
502,22
503,22
504,22
505,13
506,14
507,8
508,13
509,8
510,8
511,14
512,14
513,8
514,14
515,14
516,13
517,8
518,14
519,13
520,14
521,14
522,8
523,14
524,8
525,14
526,8
527,14
528,14
529,8
530,13
531,13
532,13
533,13
534,14
535,8
536,14
537,14
538,14
539,14
540,8
541,13
542,14
543,14
544,13
545,8
546,8
547,14
548,8
549,8
550,22
551,22
552,22
553,22
554,22
555,20
556,20
557,20
558,20
559,20
560,20
561,20
562,20
563,20
564,20
565,20
566,17
567,17
568,17
569,17
570,17
571,17
572,17
573,17
574,17
575,17
576,17
577,17
578,17
579,17
580,17
581,17
582,17
583,17
584,17
585,17
586,17
587,17
588,17
589,17
590,17
591,17
592,20
593,20
594,20
595,20
596,20
597,20
598,20
599,20
600,20
601,20
602,20
603,20
604,20
605,20
606,20
607,20
608,20
609,20
610,20
611,20
612,20
613,20
614,20
615,20
616,15
617,15
618,15
619,15
620,15
621,7
622,8
623,8
624,7
625,8
626,8
627,8
628,7
629,7
630,7
631,15
632,15
633,15
634,15
635,15
636,15
637,15
638,15
639,15
640,15
