pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.244.244.8,1,244,244,8,6.3,426017.9,5885255.0,24,5,2018-08-01,2018-08-03,soil pH,pH,,DIN ISO 10390,3
1.244.244.12,1,244,244,12,2.5,426017.9,5885255.0,24,5,2018-08-01,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.244.244.13,1,244,244,13,9.0,426017.9,5885255.0,24,5,2018-08-01,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.244.244.14,1,244,244,14,3.2,426017.9,5885255.0,24,5,2018-08-01,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,3
1.245.245.1,1,245,245,1,7.31,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Clay,Cl,M%,DIN ISO 11277,3
1.245.245.2,1,245,245,2,0.83,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Fine silt,fSi,M%,DIN ISO 11277,3
1.245.245.3,1,245,245,3,4.81,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Middle silt,mSi,M%,DIN ISO 11277,3
1.245.245.4,1,245,245,4,12.53,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Coarse silt,cSi,M%,DIN ISO 11277,3
1.245.245.5,1,245,245,5,43.87,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Fine sand,fSa,M%,DIN ISO 11277,3
1.245.245.6,1,245,245,6,27.84,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Middle sand,mSa,M%,DIN ISO 11277,3
1.245.245.7,1,245,245,7,2.81,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Coarse sand,cSa,M%,DIN ISO 11277,3
1.245.245.8,1,245,245,8,5.0,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,soil pH,pH,,DIN ISO 10390,3
1.245.245.9,1,245,245,9,0.79,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.245.245.10,1,245,245,10,0.84,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.245.245.11,1,245,245,11,0.08,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Totoal nitrogen,TN,M%,DIN ISO 10694,3
1.245.245.12,1,245,245,12,2.5,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.245.245.13,1,245,245,13,9.0,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.245.245.14,1,245,245,14,3.0,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,3
1.246.246.8,1,246,246,8,6.2,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,soil pH,pH,,DIN ISO 10390,3
1.246.246.9,1,246,246,9,0.91,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.246.246.10,1,246,246,10,0.92,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,3
1.246.246.11,1,246,246,11,0.1,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,3
1.246.246.12,1,246,246,12,3.3,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.246.246.13,1,246,246,13,12.0,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
1.246.246.14,1,246,246,14,3.9,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,3
1.247.247.1,1,247,247,1,8.03,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Clay,Cl,M%,DIN ISO 11277,3
1.247.247.2,1,247,247,2,1.58,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Fine silt,fSi,M%,DIN ISO 11277,3
1.247.247.3,1,247,247,3,8.27,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Middle silt,mSi,M%,DIN ISO 11277,3
1.247.247.4,1,247,247,4,15.72,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Coarse silt,cSi,M%,DIN ISO 11277,3
1.247.247.5,1,247,247,5,36.25,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Fine sand,fSa,M%,DIN ISO 11277,3
1.247.247.6,1,247,247,6,26.39,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Middle sand,mSa,M%,DIN ISO 11277,3
1.247.247.7,1,247,247,7,3.77,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Coarse sand,cSa,M%,DIN ISO 11277,3
1.247.247.8,1,247,247,8,5.6,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,soil pH,pH,,DIN ISO 10390,3
1.247.247.9,1,247,247,9,0.94,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.247.247.10,1,247,247,10,0.95,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.247.247.11,1,247,247,11,0.1,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Totoal nitrogen,TN,M%,DIN ISO 10694,3
1.247.247.12,1,247,247,12,3.0,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",3
