pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value
2.286.306.13,2,286,306,13,8
2.286.306.14,2,286,306,14,6.1
2.287.307.8,2,287,307,8,7.1
2.287.307.12,2,287,307,12,6.3
2.287.307.13,2,287,307,13,8
2.287.307.14,2,287,307,14,2.7
2.287.308.1,2,287,308,1,3
2.287.308.2,2,287,308,2,3
2.287.308.3,2,287,308,3,2
2.287.308.4,2,287,308,4,9
2.287.308.5,2,287,308,5,31
2.287.308.6,2,287,308,6,42
2.287.308.7,2,287,308,7,10
2.287.308.8,2,287,308,8,6.7
2.287.308.12,2,287,308,12,5.4
2.287.308.13,2,287,308,13,7
2.287.308.14,2,287,308,14,5.3
2.288.309.9,2,288,309,9,1.68
2.288.309.10,2,288,309,10,1.81
2.288.309.11,2,288,309,11,0.18
2.289.310.8,2,289,310,8,6.9
2.289.310.12,2,289,310,12,6.7
2.289.310.13,2,289,310,13,16
2.289.310.14,2,289,310,14,8.2
2.289.311.1,2,289,311,1,7.96
2.289.311.2,2,289,311,2,7.1
2.289.311.3,2,289,311,3,5.92
2.289.311.4,2,289,311,4,11.19
2.289.311.5,2,289,311,5,36.92
2.289.311.6,2,289,311,6,25.31
2.289.311.7,2,289,311,7,5.6
2.289.311.8,2,289,311,8,6.7
2.289.311.9,2,289,311,9,1.13
2.289.311.10,2,289,311,10,1.13
2.289.311.11,2,289,311,11,0.12
2.289.311.12,2,289,311,12,6
2.289.311.13,2,289,311,13,12
2.289.311.14,2,289,311,14,10
2.290.312.1,2,290,312,1,19.78
2.290.312.2,2,290,312,2,4.85
2.290.312.3,2,290,312,3,16
2.290.312.4,2,290,312,4,15.34
2.290.312.5,2,290,312,5,21.57
2.290.312.6,2,290,312,6,17.43
2.290.312.7,2,290,312,7,5.03
2.290.312.8,2,290,312,8,7.3
2.290.312.9,2,290,312,9,3.23
2.290.312.10,2,290,312,10,4.49
2.290.312.11,2,290,312,11,0.34
2.290.312.13,2,290,312,13,5
2.290.312.14,2,290,312,14,6.4
2.290.313.8,2,290,313,8,7.2
2.290.313.12,2,290,313,12,1.5
2.290.313.13,2,290,313,13,6
2.290.313.14,2,290,313,14,7.4
2.291.314.1,2,291,314,1,7.35
2.291.314.2,2,291,314,2,2.61
2.291.314.3,2,291,314,3,7.46
2.291.314.4,2,291,314,4,12.31
2.291.314.5,2,291,314,5,36.3
2.291.314.6,2,291,314,6,28.09
2.291.314.7,2,291,314,7,5.88
2.291.314.8,2,291,314,8,5.9
2.291.314.9,2,291,314,9,0.75
2.291.314.10,2,291,314,10,0.79
2.291.314.11,2,291,314,11,0.08
2.291.314.12,2,291,314,12,2.4
2.291.314.13,2,291,314,13,9
2.291.314.14,2,291,314,14,6.2
2.291.315.8,2,291,315,8,6.8
2.291.315.12,2,291,315,12,3.3
2.291.315.13,2,291,315,13,12
2.291.315.14,2,291,315,14,5.2
2.292.316.9,2,292,316,9,1.37
2.292.316.10,2,292,316,10,1.58
2.292.316.11,2,292,316,11,0.12
2.293.317.1,2,293,317,1,8.64
2.293.317.2,2,293,317,2,1.97
2.293.317.3,2,293,317,3,5.85
2.293.317.4,2,293,317,4,10.92
2.293.317.5,2,293,317,5,26.16
2.293.317.6,2,293,317,6,40.49
2.293.317.7,2,293,317,7,5.97
2.293.317.8,2,293,317,8,6.1
2.293.317.9,2,293,317,9,0.96
2.293.317.10,2,293,317,10,1.05
2.293.317.11,2,293,317,11,0.11
2.293.317.12,2,293,317,12,5.9
2.293.317.13,2,293,317,13,17
2.293.317.14,2,293,317,14,9.3
2.294.318.8,2,294,318,8,6.3
2.294.318.12,2,294,318,12,2.7
2.294.318.13,2,294,318,13,20
2.294.318.14,2,294,318,14,6.4
2.294.319.1,2,294,319,1,7.98
2.294.319.2,2,294,319,2,4.21
2.294.319.3,2,294,319,3,6.29
2.294.319.4,2,294,319,4,12.76
2.294.319.5,2,294,319,5,36.03
2.294.319.6,2,294,319,6,27
2.294.319.7,2,294,319,7,5.73
2.294.319.8,2,294,319,8,5.9
2.294.319.9,2,294,319,9,1.05
2.294.319.10,2,294,319,10,1.16
2.294.319.11,2,294,319,11,0.12
2.294.319.12,2,294,319,12,2.6
2.294.319.13,2,294,319,13,14
2.294.319.14,2,294,319,14,7.5
2.295.320.1,2,295,320,1,7.56
2.295.320.2,2,295,320,2,1.71
2.295.320.3,2,295,320,3,9.06
2.295.320.4,2,295,320,4,11.48
2.295.320.5,2,295,320,5,38.83
2.295.320.6,2,295,320,6,25.99
2.295.320.7,2,295,320,7,5.38
2.295.320.8,2,295,320,8,6.2
2.295.320.9,2,295,320,9,1
2.295.320.10,2,295,320,10,1.01
2.295.320.11,2,295,320,11,0.1
2.295.320.12,2,295,320,12,4.9
2.295.320.13,2,295,320,13,10
2.295.320.14,2,295,320,14,5.5
2.295.321.8,2,295,321,8,7
2.295.321.12,2,295,321,12,4.8
2.295.321.13,2,295,321,13,16
2.295.321.14,2,295,321,14,3
2.296.322.1,2,296,322,1,5.08
2.296.322.2,2,296,322,2,0.66
2.296.322.3,2,296,322,3,3.06
2.296.322.4,2,296,322,4,1.56
2.296.322.5,2,296,322,5,30.84
2.296.322.6,2,296,322,6,46.23
2.296.322.7,2,296,322,7,12.55
2.296.322.8,2,296,322,8,6.6
2.296.322.9,2,296,322,9,0.44
2.296.322.10,2,296,322,10,0.44
2.296.322.11,2,296,322,11,0.05
2.296.322.12,2,296,322,12,9.1
2.296.322.13,2,296,322,13,10
2.296.322.14,2,296,322,14,6.6
2.297.323.9,2,297,323,9,2.5
2.297.323.10,2,297,323,10,2.85
2.297.323.11,2,297,323,11,0.26
2.298.324.8,2,298,324,8,6.4
2.298.324.12,2,298,324,12,4.2
2.298.324.13,2,298,324,13,18
2.298.324.14,2,298,324,14,4
2.298.325.1,2,298,325,1,5.71
2.298.325.2,2,298,325,2,4.46
2.298.325.3,2,298,325,3,5.07
2.298.325.4,2,298,325,4,14.07
2.298.325.5,2,298,325,5,39.09
2.298.325.6,2,298,325,6,26.95
2.298.325.7,2,298,325,7,4.66
2.298.325.8,2,298,325,8,6.3
2.298.325.9,2,298,325,9,0.79
2.298.325.10,2,298,325,10,0.82
2.298.325.11,2,298,325,11,0.09
2.298.325.12,2,298,325,12,3.2
2.298.325.13,2,298,325,13,10
2.298.325.14,2,298,325,14,5.2
2.299.326.9,2,299,326,9,1.62
2.299.326.10,2,299,326,10,1.99
2.299.326.11,2,299,326,11,0.16
2.300.327.8,2,300,327,8,7.1
2.300.327.12,2,300,327,12,1.5
2.300.327.13,2,300,327,13,14
2.300.327.14,2,300,327,14,6.2
2.301.328.1,2,301,328,1,9.78
2.301.328.2,2,301,328,2,6.27
2.301.328.3,2,301,328,3,5.21
2.301.328.4,2,301,328,4,13.05
2.301.328.5,2,301,328,5,32
2.301.328.6,2,301,328,6,27.76
2.301.328.7,2,301,328,7,5.93
2.301.328.8,2,301,328,8,7.1
2.301.328.9,2,301,328,9,2.8
2.301.328.10,2,301,328,10,2.88
2.301.328.11,2,301,328,11,0.28
2.301.328.12,2,301,328,12,6.2
2.301.328.13,2,301,328,13,7
2.301.328.14,2,301,328,14,5.5
2.301.329.8,2,301,329,8,7.2
2.301.329.12,2,301,329,12,7.4
2.301.329.13,2,301,329,13,8
2.301.329.14,2,301,329,14,6.6
2.302.330.1,2,302,330,1,4
2.302.330.2,2,302,330,2,3
2.302.330.3,2,302,330,3,5
2.302.330.4,2,302,330,4,14
2.302.330.5,2,302,330,5,37
2.302.330.6,2,302,330,6,30
2.302.330.7,2,302,330,7,7
2.302.330.9,2,302,330,9,1.11
2.302.330.10,2,302,330,10,1.12
2.302.330.11,2,302,330,11,0.1
2.303.331.9,2,303,331,9,1.09
2.303.331.10,2,303,331,10,1.11
2.303.331.11,2,303,331,11,0.1
2.304.332.8,2,304,332,8,7.2
2.304.332.12,2,304,332,12,2.9
2.304.332.13,2,304,332,13,4
2.304.332.14,2,304,332,14,8.1
2.304.333.8,2,304,333,8,6.8
2.304.333.12,2,304,333,12,5.1
2.304.333.13,2,304,333,13,12
2.304.333.14,2,304,333,14,6.7
2.305.334.8,2,305,334,8,7.2
2.305.334.12,2,305,334,12,15.9
2.305.334.13,2,305,334,13,12
2.305.334.14,2,305,334,14,4
2.305.335.1,2,305,335,1,7
2.305.335.2,2,305,335,2,4
2.305.335.3,2,305,335,3,8
2.305.335.4,2,305,335,4,12
2.305.335.5,2,305,335,5,20
2.305.335.6,2,305,335,6,40
2.305.335.7,2,305,335,7,9
2.305.335.8,2,305,335,8,6
2.305.335.12,2,305,335,12,5.6
2.305.335.13,2,305,335,13,12
2.305.335.14,2,305,335,14,5.3
2.306.336.1,2,306,336,1,5
2.306.336.2,2,306,336,2,3
2.306.336.3,2,306,336,3,7
2.306.336.4,2,306,336,4,10
2.306.336.5,2,306,336,5,40
2.306.336.6,2,306,336,6,29
2.306.336.7,2,306,336,7,6
2.306.336.9,2,306,336,9,1.27
2.306.336.10,2,306,336,10,1.44
2.306.336.11,2,306,336,11,0.12
2.307.337.8,2,307,337,8,6
2.307.337.12,2,307,337,12,4.9
2.307.337.13,2,307,337,13,13
2.307.337.14,2,307,337,14,6.7
2.308.338.9,2,308,338,9,0.79
2.308.338.10,2,308,338,10,0.8
2.308.338.11,2,308,338,11,0.07
2.309.339.1,2,309,339,1,9
2.309.339.2,2,309,339,2,3
2.309.339.3,2,309,339,3,6
2.309.339.4,2,309,339,4,13
2.309.339.5,2,309,339,5,36
2.309.339.6,2,309,339,6,28
2.309.339.7,2,309,339,7,5
2.309.339.8,2,309,339,8,5.8
2.309.339.12,2,309,339,12,3.8
2.309.339.13,2,309,339,13,9
2.309.339.14,2,309,339,14,4.3
2.309.340.8,2,309,340,8,7.3
2.309.340.12,2,309,340,12,2.2
2.309.340.13,2,309,340,13,6
2.309.340.14,2,309,340,14,5.9
2.310.341.1,2,310,341,1,12
2.310.341.2,2,310,341,2,6
2.310.341.3,2,310,341,3,4
2.310.341.4,2,310,341,4,15
2.310.341.5,2,310,341,5,30
2.310.341.6,2,310,341,6,25
2.310.341.7,2,310,341,7,8
2.310.341.9,2,310,341,9,2.78
2.310.341.10,2,310,341,10,4.33
2.310.341.11,2,310,341,11,0.29
2.311.342.1,2,311,342,1,9
2.311.342.2,2,311,342,2,3
2.311.342.3,2,311,342,3,5
2.311.342.4,2,311,342,4,11
2.311.342.5,2,311,342,5,35
2.311.342.6,2,311,342,6,29
2.311.342.7,2,311,342,7,8
2.311.342.9,2,311,342,9,1.35
2.311.342.10,2,311,342,10,1.36
2.311.342.11,2,311,342,11,0.13
2.312.343.8,2,312,343,8,6
2.312.343.12,2,312,343,12,3.8
2.312.343.13,2,312,343,13,12
2.312.343.14,2,312,343,14,3.5
2.312.344.1,2,312,344,1,4.73
2.312.344.2,2,312,344,2,0.5
2.312.344.3,2,312,344,3,4.35
2.312.344.4,2,312,344,4,8.04
2.312.344.5,2,312,344,5,39.97
2.312.344.6,2,312,344,6,34.99
2.312.344.7,2,312,344,7,7.43
2.312.344.8,2,312,344,8,5.9
2.312.344.9,2,312,344,9,0.69
2.312.344.10,2,312,344,10,0.69
2.312.344.11,2,312,344,11,0.07
2.312.344.12,2,312,344,12,3.8
2.312.344.13,2,312,344,13,9
2.312.344.14,2,312,344,14,3.6
2.313.345.1,2,313,345,1,6
2.313.345.2,2,313,345,2,4
2.313.345.3,2,313,345,3,7
2.313.345.4,2,313,345,4,13
2.313.345.5,2,313,345,5,35
2.313.345.6,2,313,345,6,29
2.313.345.7,2,313,345,7,6
2.313.345.9,2,313,345,9,0.98
2.313.345.10,2,313,345,10,1.11
2.313.345.11,2,313,345,11,0.09
2.314.346.8,2,314,346,8,6.4
2.314.346.12,2,314,346,12,3.7
2.314.346.13,2,314,346,13,8
2.314.346.14,2,314,346,14,3.1
2.314.347.1,2,314,347,1,4.74
2.314.347.2,2,314,347,2,1.93
2.314.347.3,2,314,347,3,1.75
2.314.347.4,2,314,347,4,9.77
2.314.347.5,2,314,347,5,38.17
2.314.347.6,2,314,347,6,37.36
2.314.347.7,2,314,347,7,6.28
2.314.347.8,2,314,347,8,5.8
2.314.347.9,2,314,347,9,0.67
2.314.347.10,2,314,347,10,0.74
2.314.347.11,2,314,347,11,0.07
2.314.347.12,2,314,347,12,3.7
2.314.347.13,2,314,347,13,7
2.314.347.14,2,314,347,14,4
2.315.348.9,2,315,348,9,1.71
2.315.348.10,2,315,348,10,1.96
2.315.348.11,2,315,348,11,0.15
2.316.349.9,2,316,349,9,0.63
2.316.349.10,2,316,349,10,0.65
2.316.349.11,2,316,349,11,0.06
2.317.350.1,2,317,350,1,7.79
2.317.350.2,2,317,350,2,2.94
2.317.350.3,2,317,350,3,3.97
2.317.350.4,2,317,350,4,11.27
2.317.350.5,2,317,350,5,40.62
2.317.350.6,2,317,350,6,27.06
2.317.350.7,2,317,350,7,6.36
2.317.350.8,2,317,350,8,6.9
2.317.350.9,2,317,350,9,1.25
2.317.350.10,2,317,350,10,1.29
2.317.350.11,2,317,350,11,0.14
2.317.350.12,2,317,350,12,6
2.317.350.13,2,317,350,13,17
2.317.350.14,2,317,350,14,14.4
2.318.351.8,2,318,351,8,6
2.318.351.12,2,318,351,12,4.4
2.318.351.13,2,318,351,13,17
2.318.351.14,2,318,351,14,6.8
2.319.352.8,2,319,352,8,5.9
2.319.352.12,2,319,352,12,2.3
2.319.352.13,2,319,352,13,11
2.319.352.14,2,319,352,14,3
2.319.353.8,2,319,353,8,5.6
2.319.353.12,2,319,353,12,6.3
2.319.353.13,2,319,353,13,9
2.319.353.14,2,319,353,14,3.8
2.320.354.1,2,320,354,1,4
2.320.354.2,2,320,354,2,3
2.320.354.3,2,320,354,3,5
2.320.354.4,2,320,354,4,9
2.320.354.5,2,320,354,5,40
2.320.354.6,2,320,354,6,32
2.320.354.7,2,320,354,7,7
2.320.354.9,2,320,354,9,0.86
2.320.354.10,2,320,354,10,0.87
2.320.354.11,2,320,354,11,0.08
2.321.355.1,2,321,355,1,4.28
2.321.355.2,2,321,355,2,3.3
2.321.355.3,2,321,355,3,4.08
2.321.355.4,2,321,355,4,10.6
2.321.355.5,2,321,355,5,41.47
2.321.355.6,2,321,355,6,30.27
2.321.355.7,2,321,355,7,6.02
2.321.355.8,2,321,355,8,6.5
2.321.355.9,2,321,355,9,0.89
2.321.355.10,2,321,355,10,0.94
2.321.355.11,2,321,355,11,0.09
2.321.355.12,2,321,355,12,6.9
2.321.355.13,2,321,355,13,14
2.321.355.14,2,321,355,14,7.6
2.322.356.1,2,322,356,1,4
2.322.356.2,2,322,356,2,3
2.322.356.3,2,322,356,3,4
2.322.356.4,2,322,356,4,6
2.322.356.5,2,322,356,5,38
2.322.356.6,2,322,356,6,37
2.322.356.7,2,322,356,7,8
2.322.356.9,2,322,356,9,0.95
2.322.356.10,2,322,356,10,0.99
2.322.356.11,2,322,356,11,0.09
2.323.357.1,2,323,357,1,5.6
2.323.357.2,2,323,357,2,1.37
2.323.357.3,2,323,357,3,1.75
2.323.357.4,2,323,357,4,6.63
2.323.357.5,2,323,357,5,40.9
2.323.357.6,2,323,357,6,37.29
2.323.357.7,2,323,357,7,6.46
2.323.357.8,2,323,357,8,6.4
2.323.357.9,2,323,357,9,0.59
2.323.357.10,2,323,357,10,0.78
2.323.357.11,2,323,357,11,0.08
2.323.357.12,2,323,357,12,6.3
2.323.357.13,2,323,357,13,14
2.323.357.14,2,323,357,14,7
2.324.358.1,2,324,358,1,4
2.324.358.2,2,324,358,2,2
2.324.358.3,2,324,358,3,4
2.324.358.4,2,324,358,4,10
2.324.358.5,2,324,358,5,41
2.324.358.6,2,324,358,6,34
2.324.358.7,2,324,358,7,5
2.324.358.9,2,324,358,9,0.78
2.324.358.10,2,324,358,10,0.82
2.324.358.11,2,324,358,11,0.07
2.325.359.8,2,325,359,8,4.9
2.325.359.12,2,325,359,12,2.6
2.325.359.13,2,325,359,13,11
2.325.359.14,2,325,359,14,3.8
2.325.360.8,2,325,360,8,5.3
2.325.360.12,2,325,360,12,3.4
2.325.360.13,2,325,360,13,14
2.325.360.14,2,325,360,14,2.6
2.326.361.1,2,326,361,1,3
2.326.361.2,2,326,361,2,3
2.326.361.3,2,326,361,3,4
2.326.361.4,2,326,361,4,10
2.326.361.5,2,326,361,5,42
2.326.361.6,2,326,361,6,32
2.326.361.7,2,326,361,7,6
2.326.361.9,2,326,361,9,0.91
2.326.361.10,2,326,361,10,0.93
2.326.361.11,2,326,361,11,0.08
2.327.362.8,2,327,362,8,5.7
2.327.362.12,2,327,362,12,5.7
2.327.362.13,2,327,362,13,15
2.327.362.14,2,327,362,14,3
2.327.363.8,2,327,363,8,6.9
2.327.363.12,2,327,363,12,2.2
2.327.363.13,2,327,363,13,4
2.327.363.14,2,327,363,14,6.1
2.328.364.8,2,328,364,8,6.6
2.328.364.12,2,328,364,12,4.7
2.328.364.13,2,328,364,13,13
2.328.364.14,2,328,364,14,3.5
2.329.365.8,2,329,365,8,5.3
2.329.365.12,2,329,365,12,4.8
2.329.365.13,2,329,365,13,11
2.329.365.14,2,329,365,14,3.5
2.329.366.8,2,329,366,8,6.9
2.329.366.12,2,329,366,12,15.3
2.329.366.13,2,329,366,13,6
2.329.366.14,2,329,366,14,5
2.330.367.9,2,330,367,9,0.83
2.330.367.10,2,330,367,10,0.88
2.330.367.11,2,330,367,11,0.07
2.331.368.8,2,331,368,8,6.4
2.331.368.12,2,331,368,12,7.5
2.331.368.13,2,331,368,13,14
2.331.368.14,2,331,368,14,3.9
2.332.369.9,2,332,369,9,0.96
2.332.369.10,2,332,369,10,0.98
2.332.369.11,2,332,369,11,0.08
2.333.370.9,2,333,370,9,1.06
2.333.370.10,2,333,370,10,1.09
2.333.370.11,2,333,370,11,0.1
2.334.371.1,2,334,371,1,4.98
2.334.371.2,2,334,371,2,2.49
2.334.371.3,2,334,371,3,2.69
2.334.371.4,2,334,371,4,6.88
2.334.371.5,2,334,371,5,32.36
2.334.371.6,2,334,371,6,44.12
2.334.371.7,2,334,371,7,6.49
2.334.371.8,2,334,371,8,6.6
2.334.371.9,2,334,371,9,0.58
2.334.371.10,2,334,371,10,0.58
2.334.371.11,2,334,371,11,0.06
2.334.371.12,2,334,371,12,7.1
2.334.371.13,2,334,371,13,13
2.334.371.14,2,334,371,14,4.7
2.335.372.1,2,335,372,1,4
2.335.372.2,2,335,372,2,2
2.335.372.3,2,335,372,3,6
2.335.372.4,2,335,372,4,8
2.335.372.5,2,335,372,5,42
2.335.372.6,2,335,372,6,33
2.335.372.7,2,335,372,7,5
2.335.372.9,2,335,372,9,1.07
2.335.372.10,2,335,372,10,1.08
2.335.372.11,2,335,372,11,0.1
2.336.373.1,2,336,373,1,6.6
2.336.373.2,2,336,373,2,3.4
2.336.373.3,2,336,373,3,6.18
2.336.373.4,2,336,373,4,7.76
2.336.373.5,2,336,373,5,48.4
2.336.373.6,2,336,373,6,23.57
2.336.373.7,2,336,373,7,4.09
2.336.373.8,2,336,373,8,6.7
2.336.373.9,2,336,373,9,0.94
2.336.373.10,2,336,373,10,1.02
2.336.373.11,2,336,373,11,0.1
2.336.373.12,2,336,373,12,9.9
2.336.373.13,2,336,373,13,19
2.336.373.14,2,336,373,14,5
2.337.374.1,2,337,374,1,3.29
2.337.374.2,2,337,374,2,0.69
2.337.374.3,2,337,374,3,2.72
2.337.374.4,2,337,374,4,5.42
2.337.374.5,2,337,374,5,33.97
2.337.374.6,2,337,374,6,46.77
2.337.374.7,2,337,374,7,7.14
2.337.374.8,2,337,374,8,6.2
2.337.374.9,2,337,374,9,1.01
2.337.374.10,2,337,374,10,1.11
2.337.374.11,2,337,374,11,0.11
2.337.374.12,2,337,374,12,7
2.337.374.13,2,337,374,13,21
2.337.374.14,2,337,374,14,4.6
2.338.375.9,2,338,375,9,0.84
2.338.375.10,2,338,375,10,0.84
2.338.375.11,2,338,375,11,0.08
2.339.376.9,2,339,376,9,0.89
2.339.376.10,2,339,376,10,0.89
2.339.376.11,2,339,376,11,0.08
2.340.377.9,2,340,377,9,2.18
2.340.377.10,2,340,377,10,2.32
2.340.377.11,2,340,377,11,0.19
2.341.378.1,2,341,378,1,4.33
2.341.378.2,2,341,378,2,2.87
2.341.378.3,2,341,378,3,2.64
2.341.378.4,2,341,378,4,9.06
2.341.378.5,2,341,378,5,43.18
2.341.378.6,2,341,378,6,32.83
2.341.378.7,2,341,378,7,5.09
2.341.378.8,2,341,378,8,6.6
2.341.378.9,2,341,378,9,0.79
2.341.378.10,2,341,378,10,0.89
2.341.378.11,2,341,378,11,0.09
2.341.378.12,2,341,378,12,9.2
2.341.378.13,2,341,378,13,17
2.341.378.14,2,341,378,14,5.8
2.342.379.8,2,342,379,8,6.1
2.342.379.12,2,342,379,12,7.3
2.342.379.13,2,342,379,13,13
2.342.379.14,2,342,379,14,4
2.343.380.9,2,343,380,9,0.69
2.343.380.10,2,343,380,10,0.73
2.343.380.11,2,343,380,11,0.06
2.344.381.9,2,344,381,9,0.81
2.344.381.10,2,344,381,10,0.81
2.344.381.11,2,344,381,11,0.07
2.345.382.9,2,345,382,9,0.77
2.345.382.10,2,345,382,10,0.77
2.345.382.11,2,345,382,11,0.07
2.346.383.1,2,346,383,1,2.95
2.346.383.2,2,346,383,2,2.23
2.346.383.3,2,346,383,3,1.65
2.346.383.4,2,346,383,4,5.9
2.346.383.5,2,346,383,5,38.32
2.346.383.6,2,346,383,6,41.17
2.346.383.7,2,346,383,7,7.78
2.347.384.1,2,347,384,1,7.16
2.347.384.2,2,347,384,2,4.74
2.347.384.3,2,347,384,3,5.17
2.347.384.4,2,347,384,4,8.79
2.347.384.5,2,347,384,5,32.15
2.347.384.6,2,347,384,6,35.07
2.347.384.7,2,347,384,7,6.92
2.348.385.8,2,348,385,8,5.7
2.348.385.12,2,348,385,12,7.3
2.348.385.13,2,348,385,13,15
2.348.385.14,2,348,385,14,6.2
2.349.386.8,2,349,386,8,5
2.349.386.12,2,349,386,12,5.7
2.349.386.13,2,349,386,13,10
2.349.386.14,2,349,386,14,3.6
2.350.387.8,2,350,387,8,6.1
2.350.387.12,2,350,387,12,18.2
2.350.387.13,2,350,387,13,16
2.350.387.14,2,350,387,14,7.7
2.351.388.9,2,351,388,9,0.92
2.351.388.10,2,351,388,10,0.94
2.351.388.11,2,351,388,11,0.08
2.352.389.9,2,352,389,9,1.18
2.352.389.10,2,352,389,10,1.21
2.352.389.11,2,352,389,11,0.11
2.353.390.8,2,353,390,8,6.3
2.353.390.12,2,353,390,12,4.3
2.353.390.13,2,353,390,13,16
2.353.390.14,2,353,390,14,10.9
2.354.391.1,2,354,391,1,10.44
2.354.391.2,2,354,391,2,3.37
2.354.391.3,2,354,391,3,4.81
2.354.391.4,2,354,391,4,11.66
2.354.391.5,2,354,391,5,31.06
2.354.391.6,2,354,391,6,30.8
2.354.391.7,2,354,391,7,7.86
2.355.392.8,2,355,392,8,7
2.355.392.12,2,355,392,12,9.5
2.355.392.13,2,355,392,13,13
2.355.392.14,2,355,392,14,2.3
2.356.393.1,2,356,393,1,2.41
2.356.393.2,2,356,393,2,2.78
2.356.393.3,2,356,393,3,2.04
2.356.393.4,2,356,393,4,6.19
2.356.393.5,2,356,393,5,22.1
2.356.393.6,2,356,393,6,46.37
2.356.393.7,2,356,393,7,18.12
2.357.394.9,2,357,394,9,0.64
2.357.394.10,2,357,394,10,0.72
2.357.394.11,2,357,394,11,0.06
2.358.395.9,2,358,395,9,1
2.358.395.10,2,358,395,10,1.02
2.358.395.11,2,358,395,11,0.1
2.359.396.8,2,359,396,8,6.7
2.359.396.12,2,359,396,12,7
2.359.396.13,2,359,396,13,14
2.359.396.14,2,359,396,14,3.4
2.360.397.8,2,360,397,8,4.3
2.360.397.12,2,360,397,12,4
2.360.397.13,2,360,397,13,16
2.360.397.14,2,360,397,14,4.3
2.361.398.1,2,361,398,1,8.56
2.361.398.2,2,361,398,2,0.72
2.361.398.3,2,361,398,3,6.64
2.361.398.4,2,361,398,4,7.88
2.361.398.5,2,361,398,5,29.83
2.361.398.6,2,361,398,6,36.34
2.361.398.7,2,361,398,7,10.04
2.362.399.8,2,362,399,8,6.9
2.362.399.12,2,362,399,12,5.8
2.362.399.13,2,362,399,13,14
2.362.399.14,2,362,399,14,3.7
2.363.400.9,2,363,400,9,1.03
2.363.400.10,2,363,400,10,1.08
2.363.400.11,2,363,400,11,0.1
2.364.401.9,2,364,401,9,0.71
2.364.401.10,2,364,401,10,0.74
2.364.401.11,2,364,401,11,0.07
2.365.402.8,2,365,402,8,6.8
2.365.402.12,2,365,402,12,5.7
2.365.402.13,2,365,402,13,10
2.365.402.14,2,365,402,14,5.6
2.366.403.9,2,366,403,9,0.92
2.366.403.10,2,366,403,10,0.94
2.366.403.11,2,366,403,11,0.09
2.367.404.8,2,367,404,8,6.3
2.367.404.12,2,367,404,12,8.8
2.367.404.13,2,367,404,13,12
2.367.404.14,2,367,404,14,4
2.368.405.9,2,368,405,9,1.04
2.368.405.10,2,368,405,10,1.08
2.368.405.11,2,368,405,11,0.1
2.369.406.8,2,369,406,8,6.3
2.369.406.12,2,369,406,12,5.3
2.369.406.13,2,369,406,13,13
2.369.406.14,2,369,406,14,6.7
2.370.407.9,2,370,407,9,0.95
2.370.407.10,2,370,407,10,0.98
2.370.407.11,2,370,407,11,0.08
2.371.408.1,2,371,408,1,7.8
2.371.408.2,2,371,408,2,1.39
2.371.408.3,2,371,408,3,5.21
2.371.408.4,2,371,408,4,10.99
2.371.408.5,2,371,408,5,36.19
2.371.408.6,2,371,408,6,32.31
2.371.408.7,2,371,408,7,6.11
2.371.408.8,2,371,408,8,4.7
2.371.408.9,2,371,408,9,0.8
2.371.408.10,2,371,408,10,0.91
2.371.408.11,2,371,408,11,0.09
2.371.408.12,2,371,408,12,3.9
2.371.408.13,2,371,408,13,11
2.371.408.14,2,371,408,14,3.8
2.372.409.8,2,372,409,8,6.1
2.372.409.12,2,372,409,12,7.5
2.372.409.13,2,372,409,13,10
2.372.409.14,2,372,409,14,7.3
2.373.410.9,2,373,410,9,0.87
2.373.410.10,2,373,410,10,0.9
2.373.410.11,2,373,410,11,0.08
2.374.411.9,2,374,411,9,0.95
2.374.411.10,2,374,411,10,0.96
2.374.411.11,2,374,411,11,0.09
2.375.412.9,2,375,412,9,0.84
2.375.412.10,2,375,412,10,0.84
2.375.412.11,2,375,412,11,0.08
2.376.413.8,2,376,413,8,6.1
2.376.413.12,2,376,413,12,6.8
2.376.413.13,2,376,413,13,16
2.376.413.14,2,376,413,14,6.3
2.377.414.1,2,377,414,1,7.04
2.377.414.2,2,377,414,2,1.16
2.377.414.3,2,377,414,3,5.27
2.377.414.4,2,377,414,4,9.93
2.377.414.5,2,377,414,5,34.72
2.377.414.6,2,377,414,6,34.05
2.377.414.7,2,377,414,7,7.84
2.377.414.8,2,377,414,8,5.3
2.377.414.9,2,377,414,9,0.9
2.377.414.10,2,377,414,10,0.92
2.377.414.11,2,377,414,11,0.09
2.377.414.12,2,377,414,12,4.3
2.377.414.13,2,377,414,13,12
2.377.414.14,2,377,414,14,3.6
2.378.415.8,2,378,415,8,6.5
2.378.415.12,2,378,415,12,4.4
2.378.415.13,2,378,415,13,18
2.378.415.14,2,378,415,14,5.1
2.379.416.1,2,379,416,1,5.55
2.379.416.2,2,379,416,2,4.15
2.379.416.3,2,379,416,3,4.82
2.379.416.4,2,379,416,4,10.24
2.379.416.5,2,379,416,5,30.81
2.379.416.6,2,379,416,6,35.62
2.379.416.7,2,379,416,7,8.81
2.379.416.8,2,379,416,8,6.6
2.379.416.9,2,379,416,9,1.1
2.379.416.10,2,379,416,10,1.19
2.379.416.11,2,379,416,11,0.12
2.379.416.12,2,379,416,12,9.6
2.379.416.13,2,379,416,13,14
